"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2025","1,048.50","1,050.00","1,056.50","1,046.00","124.16K","-0.14%"
"10/20/2025","1,050.00","1,037.25","1,051.50","1,037.00","126.91K","2.99%"
"10/17/2025","1,019.50","1,010.75","1,021.50","1,010.50","163.41K","0.87%"
"10/16/2025","1,010.75","1,006.25","1,019.75","1,006.00","145.82K","0.42%"
"10/15/2025","1,006.50","1,006.50","1,011.75","1,002.00","147.31K","0.00%"
"10/14/2025","1,006.50","1,007.00","1,009.75","1,001.00","143.60K","-0.12%"
"10/13/2025","1,007.75","1,006.00","1,013.00","1,003.00","142.84K","0.10%"
"10/10/2025","1,006.75","1,021.50","1,024.75","1,002.50","239.70K","-1.52%"
"10/09/2025","1,022.25","1,029.00","1,030.00","1,020.75","212.40K","-0.70%"
"10/08/2025","1,029.50","1,021.25","1,030.00","1,020.00","199.78K","0.73%"
"10/07/2025","1,022.00","1,017.00","1,025.50","1,016.00","153.30K","0.42%"
"10/06/2025","1,017.75","1,015.25","1,023.25","1,014.00","117.35K","-0.02%"
"10/03/2025","1,018.00","1,021.00","1,028.75","1,016.50","137.81K","-0.56%"
"10/02/2025","1,023.75","1,013.00","1,025.50","1,008.25","169.69K","1.06%"
"10/01/2025","1,013.00","1,000.25","1,020.00","993.75","207.98K","1.12%"
"09/30/2025","1,001.75","1,009.25","1,009.25","1,000.50","160.38K","-0.87%"
"09/29/2025","1,010.50","1,011.75","1,013.75","1,006.00","103.67K","-0.32%"
"09/26/2025","1,013.75","1,012.00","1,015.75","1,008.75","103.47K","0.15%"
"09/25/2025","1,012.25","1,008.50","1,017.00","1,006.50","132.64K","0.32%"
"09/24/2025","1,009.00","1,011.25","1,020.25","1,005.75","155.37K","-0.30%"
"09/23/2025","1,012.00","1,010.75","1,015.50","1,005.00","147.29K","0.10%"
"09/22/2025","1,011.00","1,024.25","1,025.00","1,006.25","188.01K","-1.41%"
"09/19/2025","1,025.50","1,038.50","1,047.75","1,024.00","184.81K","-1.16%"
"09/18/2025","1,037.50","1,043.75","1,044.50","1,035.25","99.22K","-0.60%"
"09/17/2025","1,043.75","1,049.25","1,052.75","1,042.00","106.46K","-0.57%"
"09/16/2025","1,049.75","1,043.00","1,052.50","1,041.75","109.07K","0.67%"
"09/15/2025","1,042.75","1,043.00","1,051.25","1,039.75","119.75K","1.66%"
"09/12/2025","1,025.75","1,025.75","1,025.75","1,025.75","0.02K","1.03%"
"09/11/2025","1,015.25","1,015.25","1,015.25","1,015.25","0.02K","0.97%"
"09/10/2025","1,005.50","1,007.75","1,009.75","1,006.75","0.02K","-0.59%"
"09/09/2025","1,011.50","1,011.50","1,011.50","1,011.50","0.02K","-0.20%"
"09/08/2025","1,013.50","1,007.50","1,010.00","1,005.50","0.07K","-1.31%"
"09/05/2025","1,027.00","1,033.50","1,037.25","1,025.75","102.79K","-0.58%"
"09/04/2025","1,033.00","1,031.50","1,034.25","1,021.50","115.81K","0.15%"
"09/03/2025","1,031.50","1,043.50","1,047.75","1,030.75","101.59K","-0.91%"
"09/02/2025","1,041.00","1,052.25","1,053.00","1,036.25","124.74K","-1.05%"
"09/01/2025","1,052.00","1,052.75","1,053.00","1,051.75","","-0.24%"
"08/29/2025","1,054.50","1,048.25","1,055.00","1,042.00","107.37K","0.62%"
"08/28/2025","1,048.00","1,047.75","1,049.25","1,039.75","117.50K","0.05%"
"08/27/2025","1,047.50","1,049.00","1,054.00","1,044.25","122.28K","-0.19%"
"08/26/2025","1,049.50","1,047.00","1,055.75","1,041.75","154.54K","0.17%"
"08/25/2025","1,047.75","1,057.75","1,061.75","1,046.00","163.20K","-1.02%"
"08/22/2025","1,058.50","1,054.75","1,062.75","1,052.00","173.59K","0.24%"
"08/21/2025","1,056.00","1,036.00","1,056.75","1,032.25","209.81K","1.93%"
"08/20/2025","1,036.00","1,034.00","1,040.50","1,031.25","78.26K","0.22%"
"08/19/2025","1,033.75","1,042.00","1,046.00","1,030.50","119.72K","-0.72%"
"08/18/2025","1,041.25","1,042.00","1,047.75","1,034.50","139.13K","-0.12%"
"08/15/2025","1,042.50","1,029.25","1,043.75","1,026.75","114.07K","3.47%"
"08/14/2025","1,007.50","1,021.25","1,029.00","1,007.00","27.62K","-1.61%"
"08/13/2025","1,024.00","1,009.00","1,026.75","1,008.75","41.10K","1.11%"
"08/12/2025","1,012.75","989.25","1,014.75","973.75","77.85K","2.12%"
"08/11/2025","991.75","968.75","995.75","965.25","34.94K","0.43%"
"08/08/2025","987.50","993.00","998.00","986.00","100.86K","-0.63%"
"08/07/2025","993.75","985.25","994.75","983.00","114.22K","0.94%"
"08/06/2025","984.50","990.00","995.25","981.25","118.60K","-0.63%"
"08/05/2025","990.75","993.00","1,002.25","989.50","111.85K","-0.38%"
"08/04/2025","994.50","990.50","996.75","986.00","117.83K","0.53%"
"08/01/2025","989.25","990.00","994.50","986.00","126.56K","0.00%"
"07/31/2025","989.25","996.00","1,000.75","987.50","155.39K","-0.65%"
"07/30/2025","995.75","1,009.00","1,012.25","995.25","142.23K","-1.36%"
"07/29/2025","1,009.50","1,010.00","1,013.75","1,004.50","129.53K","-0.20%"
"07/28/2025","1,011.50","1,015.75","1,018.25","1,010.50","137.68K","0.95%"
"07/25/2025","1,002.00","1,005.75","1,009.50","998.25","35.74K","-0.37%"
"07/24/2025","1,005.75","1,006.00","1,010.75","1,000.50","51.13K","0.07%"
"07/23/2025","1,005.00","1,008.00","1,017.75","1,004.00","38.34K","-0.30%"
"07/22/2025","1,008.00","1,012.00","1,013.75","1,004.00","45.11K","-0.25%"
"07/21/2025","1,010.50","1,015.50","1,019.50","1,005.75","23.50K","-1.68%"
"07/18/2025","1,027.75","1,021.25","1,037.25","1,020.25","46.93K","0.61%"
"07/17/2025","1,021.50","1,012.50","1,022.50","1,009.50","36.54K","0.79%"
"07/16/2025","1,013.50","996.25","1,014.50","996.00","33.43K","1.86%"
"07/15/2025","995.00","997.25","1,002.50","993.00","31.99K","-0.60%"
"07/14/2025","1,001.00","1,000.00","1,009.75","994.50","41.42K","-0.32%"
"07/11/2025","1,004.25","1,012.50","1,016.00","999.75","40.21K","-0.81%"
"07/10/2025","1,012.50","1,007.00","1,014.00","1,001.75","51.88K","0.35%"
"07/09/2025","1,009.00","1,020.25","1,024.50","1,007.75","37.64K","-1.20%"
"07/08/2025","1,021.25","1,030.50","1,032.75","1,020.25","62.42K","-0.99%"
"07/07/2025","1,031.50","1,046.75","1,047.00","1,028.75","60.37K","-2.27%"
"07/03/2025","1,055.50","1,052.50","1,064.25","1,050.75","56.41K","0.19%"
"07/02/2025","1,053.50","1,032.00","1,054.25","1,029.50","53.11K","2.31%"
"07/01/2025","1,029.75","1,027.25","1,031.50","1,016.75","51.56K","0.00%"
"06/30/2025","1,029.75","1,034.25","1,044.25","1,023.25","59.93K","-0.34%"
"06/27/2025","1,033.25","1,029.00","1,040.50","1,024.75","47.96K","0.54%"
"06/26/2025","1,027.75","1,032.00","1,034.50","1,022.50","72.24K","-0.17%"
"06/25/2025","1,029.50","1,051.00","1,057.75","1,027.75","108.12K","-1.98%"
"06/24/2025","1,050.25","1,058.00","1,065.50","1,049.75","78.29K","-1.11%"
"06/23/2025","1,062.00","1,075.00","1,077.75","1,059.00","55.98K","-0.56%"
"06/20/2025","1,068.00","1,074.00","1,080.50","1,067.00","104.76K","-0.47%"
"06/19/2025","1,073.00","1,072.75","1,073.00","1,072.75","","-0.16%"
"06/18/2025","1,074.75","1,072.25","1,079.75","1,069.50","114.29K","0.07%"
"06/17/2025","1,074.00","1,069.75","1,075.25","1,063.75","132.73K","0.40%"
"06/16/2025","1,069.75","1,069.50","1,079.25","1,064.25","159.29K","0.00%"
"06/13/2025","1,069.75","1,042.25","1,071.00","1,040.75","211.60K","2.64%"
"06/12/2025","1,042.25","1,049.00","1,056.25","1,038.50","228.33K","-0.79%"
"06/11/2025","1,050.50","1,057.75","1,062.75","1,049.25","159.14K","-0.69%"
"06/10/2025","1,057.75","1,057.25","1,063.75","1,055.75","139.46K","0.17%"
"06/09/2025","1,056.00","1,057.50","1,061.75","1,053.50","120.72K","-0.12%"
"06/06/2025","1,057.25","1,050.75","1,060.50","1,047.00","130.39K","0.52%"
"06/05/2025","1,051.75","1,044.75","1,056.75","1,040.00","134.81K","0.65%"
"06/04/2025","1,045.00","1,040.50","1,053.00","1,037.75","136.38K","0.41%"
"06/03/2025","1,040.75","1,034.50","1,044.00","1,032.75","103.96K","0.70%"
"06/02/2025","1,033.50","1,042.25","1,042.75","1,032.50","110.58K","-0.79%"
"05/30/2025","1,041.75","1,049.00","1,050.50","1,040.25","103.02K","-0.95%"
"05/29/2025","1,051.75","1,055.50","1,055.75","1,040.00","121.36K","0.31%"
"05/28/2025","1,048.50","1,061.75","1,064.25","1,047.50","94.73K","-1.32%"
"05/27/2025","1,062.50","1,061.25","1,067.75","1,059.00","85.01K","0.12%"
"05/26/2025","1,061.25","1,060.00","1,062.75","1,060.00","105.12K","0.09%"
"05/23/2025","1,060.25","1,071.00","1,073.25","1,055.50","105.12K","-0.68%"
"05/22/2025","1,067.50","1,057.00","1,070.75","1,051.00","114.37K","0.45%"
