"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2025","447.50","450.00","452.00","442.25","256.17K","-0.39%"
"05/07/2025","449.25","457.00","463.50","448.50","248.11K","-1.37%"
"05/06/2025","455.50","454.75","457.25","452.50","218.02K","0.28%"
"05/05/2025","454.25","469.00","470.75","453.25","270.57K","-3.14%"
"05/02/2025","469.00","472.25","477.00","468.25","163.66K","-0.69%"
"05/01/2025","472.25","475.00","480.00","470.00","163.17K","-0.68%"
"04/30/2025","475.50","470.75","478.50","468.50","196.43K","1.12%"
"04/29/2025","470.25","482.75","485.25","469.75","318.62K","-2.69%"
"04/28/2025","483.25","483.75","485.75","476.25","281.19K","-0.46%"
"04/25/2025","485.50","483.25","487.50","483.25","172.39K","0.31%"
"04/24/2025","484.00","479.50","485.25","479.00","183.15K","0.99%"
"04/23/2025","479.25","483.75","484.75","477.25","165.33K","-0.83%"
"04/22/2025","483.25","490.00","491.75","482.50","162.01K","-1.38%"
"04/21/2025","490.00","491.25","495.00","489.50","132.43K","1.61%"
"04/17/2025","482.25","483.25","486.50","481.50","117.57K","-0.41%"
"04/16/2025","484.25","481.25","487.00","479.25","136.22K","0.62%"
"04/15/2025","481.25","485.00","488.75","479.00","178.41K","-0.77%"
"04/14/2025","485.00","489.00","490.25","484.25","201.39K","-1.07%"
"04/11/2025","490.25","482.00","490.75","481.75","284.34K","1.50%"
"04/10/2025","483.00","473.25","484.00","473.00","326.27K","1.90%"
"04/09/2025","474.00","468.00","475.50","465.75","257.17K","1.07%"
"04/08/2025","469.00","464.50","469.75","462.75","255.18K","0.97%"
"04/07/2025","464.50","456.00","467.50","454.25","216.78K","0.92%"
"04/04/2025","460.25","457.75","462.50","449.25","212.89K","0.60%"
"04/03/2025","457.50","450.00","462.25","447.50","203.15K","-0.05%"
"04/02/2025","457.75","460.25","460.75","454.00","159.59K","-0.87%"
"04/01/2025","461.75","457.75","465.00","454.00","179.57K","0.98%"
"03/31/2025","457.25","453.00","459.25","444.00","282.80K","0.88%"
"03/28/2025","453.25","450.25","454.00","442.00","206.96K","0.72%"
"03/27/2025","450.00","451.75","452.75","447.25","170.19K","-0.28%"
"03/26/2025","451.25","458.75","461.00","450.75","154.49K","-1.42%"
"03/25/2025","457.75","464.50","464.75","457.00","148.19K","-1.45%"
"03/24/2025","464.50","465.00","466.25","459.50","125.18K","0.05%"
"03/21/2025","464.25","467.25","469.75","461.25","182.43K","-1.01%"
"03/20/2025","469.00","462.00","470.25","462.00","219.75K","1.52%"
"03/19/2025","462.00","458.25","463.00","455.75","185.23K","0.71%"
"03/18/2025","458.75","461.00","462.50","455.25","177.17K","-0.49%"
"03/17/2025","461.00","460.00","465.50","457.25","180.88K","3.48%"
"03/14/2025","445.50","443.25","443.25","443.25","0.03K","-1.76%"
"03/13/2025","453.50","450.00","459.25","450.00","0.10K","1.06%"
"03/12/2025","448.75","455.00","455.00","444.00","0.23K","-1.70%"
"03/11/2025","456.50","458.00","464.00","458.00","0.08K","-0.49%"
"03/10/2025","458.75","458.00","459.50","454.00","0.48K","-2.24%"
"03/07/2025","469.25","464.75","471.00","460.75","191.87K","1.13%"
"03/06/2025","464.00","457.00","473.50","452.75","313.86K","1.81%"
"03/05/2025","455.75","454.50","460.50","448.50","277.83K","0.94%"
"03/04/2025","451.50","456.00","459.25","442.50","391.27K","-1.04%"
"03/03/2025","456.25","469.75","472.75","454.50","353.21K","-2.82%"
"02/28/2025","469.50","481.25","483.75","469.00","287.88K","-2.39%"
"02/27/2025","481.00","493.50","496.25","480.00","323.81K","-2.53%"
"02/26/2025","493.50","495.00","500.00","492.25","221.42K","-0.15%"
"02/25/2025","494.25","497.50","498.50","488.50","233.37K","-0.55%"
"02/24/2025","497.00","504.50","505.25","495.25","280.98K","-1.58%"
"02/21/2025","505.00","512.25","513.75","504.25","235.05K","-1.51%"
"02/20/2025","512.75","512.00","518.00","511.75","167.19K","0.10%"
"02/19/2025","512.25","515.25","518.75","511.00","185.42K","-0.68%"
"02/18/2025","515.75","508.00","517.75","505.50","173.58K","3.93%"
"02/14/2025","496.25","493.00","499.75","492.50","195.60K","0.56%"
"02/13/2025","493.50","489.75","494.25","485.25","269.32K","0.66%"
"02/12/2025","490.25","483.75","492.25","481.50","271.39K","1.29%"
"02/11/2025","484.00","491.75","497.00","483.25","311.26K","-1.53%"
"02/10/2025","491.50","485.75","492.75","482.25","250.90K","0.82%"
"02/07/2025","487.50","495.50","496.50","485.50","287.30K","-1.56%"
"02/06/2025","495.25","493.25","496.50","486.00","299.13K","0.41%"
"02/05/2025","493.25","494.00","498.50","489.75","226.00K","-0.25%"
"02/04/2025","494.50","488.00","497.25","487.25","279.78K","1.18%"
"02/03/2025","488.75","476.75","491.00","472.50","322.17K","1.40%"
"01/31/2025","482.00","488.25","488.75","479.25","318.48K","-1.68%"
"01/30/2025","490.25","496.25","497.00","490.00","218.11K","-1.36%"
"01/29/2025","497.00","485.00","497.50","485.00","277.21K","2.42%"
"01/28/2025","485.25","482.25","489.25","481.00","225.86K","0.67%"
"01/27/2025","482.00","484.50","484.75","477.75","216.23K","-0.92%"
"01/24/2025","486.50","487.00","489.50","483.50","208.96K","-0.66%"
"01/23/2025","489.75","484.25","494.50","480.50","250.55K","1.14%"
"01/22/2025","484.25","489.50","492.25","482.50","264.54K","-1.17%"
"01/21/2025","490.00","484.25","490.50","482.50","295.11K","1.19%"
"01/17/2025","484.25","474.00","485.00","474.00","305.01K","2.05%"
"01/16/2025","474.50","478.75","479.00","473.25","209.82K","-0.89%"
"01/15/2025","478.75","474.25","479.50","474.00","218.14K","0.90%"
"01/14/2025","474.50","475.50","479.75","473.50","278.02K","-0.42%"
"01/13/2025","476.50","469.75","477.00","469.25","376.88K","1.28%"
"01/10/2025","470.50","456.00","472.50","455.75","467.09K","3.18%"
"01/09/2025","456.00","454.00","457.25","453.50","157.71K","0.44%"
"01/08/2025","454.00","457.75","459.25","453.50","192.59K","-0.87%"
"01/07/2025","458.00","456.00","458.50","453.00","211.63K","0.05%"
"01/06/2025","457.75","451.50","460.25","451.50","227.40K","1.55%"
"01/03/2025","450.75","459.50","459.75","449.25","199.34K","-1.90%"
"01/02/2025","459.50","457.25","459.75","456.25","163.45K","0.16%"
"01/01/2025","458.75","458.75","458.75","458.75","","0.05%"
"12/31/2024","458.50","452.25","459.00","452.00","172.88K","1.38%"
"12/30/2024","452.25","453.75","458.50","449.75","217.07K","-0.39%"
"12/27/2024","454.00","453.25","455.00","452.25","162.02K","0.06%"
"12/26/2024","453.75","448.50","454.25","448.50","176.17K","1.17%"
"12/25/2024","448.50","448.50","448.50","448.50","","0.00%"
"12/24/2024","448.50","447.25","448.75","446.75","88.15K","0.17%"
"12/23/2024","447.75","446.00","448.25","445.25","132.88K","0.34%"
"12/20/2024","446.25","439.75","447.50","439.50","191.42K","1.25%"
"12/19/2024","440.75","437.00","441.00","435.75","182.52K","0.80%"
"12/18/2024","437.25","443.75","446.50","437.00","176.18K","-1.41%"
