"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2019","470.75","470.25","473.00","467.25","43.36K","0.37%"
"08/15/2019","469.00","475.75","477.25","468.50","50.56K","-1.00%"
"08/14/2019","473.75","474.75","480.00","471.25","54.94K","0.37%"
"08/13/2019","472.00","471.00","478.75","465.50","80.02K","0.05%"
"08/12/2019","471.75","500.00","502.00","466.50","102.00K","-5.56%"
"08/09/2019","499.50","498.25","505.25","496.00","80.31K","0.20%"
"08/08/2019","498.50","489.50","502.75","486.00","93.53K","2.10%"
"08/07/2019","488.25","484.00","490.25","477.50","69.55K","0.88%"
"08/06/2019","484.00","493.00","495.75","482.75","58.66K","-2.12%"
"08/05/2019","494.50","490.25","495.00","479.25","70.66K","0.76%"
"08/02/2019","490.75","479.25","491.50","476.00","76.64K","3.15%"
"08/01/2019","475.75","486.75","488.50","471.75","79.62K","-2.36%"
"07/31/2019","487.25","497.50","500.50","484.50","64.06K","-2.01%"
"07/30/2019","497.25","502.25","503.25","495.00","47.67K","-1.24%"
"07/29/2019","503.50","495.25","507.25","492.50","63.10K","1.51%"
"07/26/2019","496.00","499.50","500.25","493.50","41.87K","-0.70%"
"07/25/2019","499.50","497.75","507.50","492.25","66.90K","0.35%"
"07/24/2019","497.75","487.25","498.75","487.25","61.74K","2.15%"
"07/23/2019","487.25","487.75","493.50","483.25","57.81K","0.00%"
"07/22/2019","487.25","505.25","505.25","487.00","69.56K","-3.03%"
"07/19/2019","502.50","494.75","516.75","492.50","67.72K","1.82%"
"07/18/2019","493.50","504.00","505.25","493.00","59.02K","-2.37%"
"07/17/2019","505.50","507.25","514.00","502.00","40.00K","-0.39%"
"07/16/2019","507.50","507.75","510.00","501.00","51.26K","-0.05%"
"07/15/2019","507.75","524.25","531.50","506.00","68.19K","-5.31%"
"07/12/2019","536.25","535.00","538.50","535.00","0.05K","0.00%"
"07/11/2019","536.25","514.25","535.50","514.25","0.07K","4.79%"
"07/10/2019","511.75","506.00","512.50","506.00","0.14K","0.39%"
"07/09/2019","509.75","513.75","513.75","508.50","0.15K","-1.35%"
"07/08/2019","516.75","520.00","521.50","513.00","0.19K","-0.48%"
"07/05/2019","519.25","511.50","520.50","511.50","0.46K","0.24%"
"07/03/2019","518.00","504.00","518.50","503.75","0.87K","2.88%"
"07/02/2019","503.50","514.00","514.75","502.00","0.62K","-2.04%"
"07/01/2019","514.00","532.00","532.00","511.75","0.86K","-2.65%"
"06/28/2019","528.00","547.75","558.00","525.75","2.99K","-3.56%"
"06/27/2019","547.50","545.25","555.25","541.25","19.41K","0.69%"
"06/26/2019","543.75","535.50","545.25","532.25","38.79K","1.49%"
"06/25/2019","535.75","540.25","545.50","534.00","35.00K","-0.42%"
"06/24/2019","538.00","526.00","540.00","522.25","35.35K","2.28%"
"06/21/2019","526.00","527.50","529.75","523.00","43.12K","-0.09%"
"06/20/2019","526.50","520.75","529.00","515.50","43.11K","0.81%"
"06/19/2019","522.25","530.25","531.00","514.25","73.04K","-1.74%"
"06/18/2019","531.50","539.75","541.00","525.25","62.46K","-1.48%"
"06/17/2019","539.50","540.25","549.25","537.50","66.17K","0.19%"
"06/14/2019","538.50","535.50","544.00","530.75","80.19K","0.56%"
"06/13/2019","535.50","526.00","536.50","524.75","80.27K","1.76%"
"06/12/2019","526.25","519.75","528.00","513.00","98.89K","1.59%"
"06/11/2019","518.00","504.00","518.75","500.25","93.40K","2.07%"
"06/10/2019","507.50","505.25","508.50","493.25","70.59K","0.59%"
"06/07/2019","504.50","511.00","512.75","502.00","95.65K","-1.08%"
"06/06/2019","510.00","492.00","514.00","487.75","126.52K","3.92%"
"06/05/2019","490.75","507.00","508.50","488.50","95.35K","-3.25%"
"06/04/2019","507.25","526.00","529.00","501.25","116.94K","-2.41%"
"06/03/2019","519.75","505.75","522.75","503.00","92.33K","3.33%"
"05/31/2019","503.00","514.50","520.00","500.75","107.97K","-2.24%"
"05/30/2019","514.50","488.75","515.00","482.00","101.11K","4.89%"
"05/29/2019","490.50","515.00","521.75","487.50","126.55K","-2.82%"
"05/28/2019","504.75","495.00","509.25","494.50","107.85K","3.12%"
"05/24/2019","489.50","469.75","490.75","467.25","74.19K","4.09%"
"05/23/2019","470.25","473.00","485.50","466.25","78.86K","-0.53%"
"05/22/2019","472.75","475.75","481.00","468.50","65.95K","-1.25%"
"05/21/2019","478.75","486.25","492.75","474.00","99.49K","0.10%"
"05/20/2019","478.25","469.75","484.00","468.00","86.58K","2.85%"
"05/17/2019","465.00","469.00","473.25","462.50","74.17K","-0.43%"
"05/16/2019","467.00","446.25","468.50","446.25","75.27K","4.07%"
"05/15/2019","448.75","451.50","464.00","447.00","85.02K","2.16%"
"05/14/2019","439.25","440.12","450.50","437.88","0.00K","1.86%"
"05/13/2019","431.25","422.75","428.50","422.75","0.24K","2.92%"
"05/10/2019","419.00","420.50","420.50","417.75","0.20K","-0.65%"
"05/09/2019","421.75","425.50","425.50","424.25","0.02K","-2.20%"
"05/08/2019","431.25","430.00","430.00","430.00","0.05K","0.17%"
"05/07/2019","430.50","422.75","432.00","422.75","0.09K","0.58%"
"05/06/2019","428.00","424.75","426.25","422.00","0.03K","0.00%"
"05/03/2019","428.00","427.50","437.00","426.00","0.11K","-1.21%"
"05/02/2019","433.25","428.50","438.25","428.25","0.28K","1.94%"
"05/01/2019","425.00","420.00","426.50","419.50","0.85K","1.55%"
"04/30/2019","418.50","424.00","426.00","416.25","5.05K","-1.93%"
"04/29/2019","426.75","436.25","439.75","425.00","31.18K","-1.90%"
"04/26/2019","435.00","433.50","439.00","433.25","31.93K","0.06%"
"04/25/2019","434.75","430.75","437.50","428.25","37.53K","0.58%"
"04/24/2019","432.25","438.00","439.50","429.75","37.32K","-1.48%"
"04/23/2019","438.75","435.25","441.25","433.00","47.31K","0.69%"
"04/22/2019","435.75","444.25","444.25","435.25","39.27K","-2.19%"
"04/19/2019","445.50","445.50","445.50","445.50","","0.28%"
"04/18/2019","444.25","447.25","448.25","439.25","44.04K","-0.62%"
"04/17/2019","447.00","446.50","450.00","444.75","42.63K","0.45%"
"04/16/2019","445.00","458.75","460.25","442.25","90.38K","-3.16%"
"04/15/2019","459.50","463.75","464.00","457.75","79.73K","-1.08%"
"04/12/2019","464.50","462.00","465.25","457.50","64.97K","0.87%"
"04/11/2019","460.50","457.00","462.50","456.75","78.54K","0.55%"
"04/10/2019","458.00","459.00","461.75","455.50","65.28K","-0.33%"
"04/09/2019","459.50","462.00","462.50","456.25","89.06K","-1.24%"
"04/08/2019","465.25","467.25","471.00","461.75","83.29K","-0.53%"
"04/05/2019","467.75","469.00","469.50","464.25","89.21K","-0.64%"
"04/04/2019","470.75","471.00","477.50","468.00","70.27K","-0.05%"
"04/03/2019","471.00","463.00","472.75","463.00","61.89K","1.51%"
"04/02/2019","464.00","463.50","465.75","456.00","48.16K","0.27%"
"04/01/2019","462.75","459.50","468.25","456.00","61.27K","1.09%"
"03/29/2019","457.75","463.75","464.75","452.50","72.18K","-1.45%"
"03/28/2019","464.50","468.50","469.25","459.50","49.57K","-1.06%"
"03/27/2019","469.50","470.00","471.75","466.50","61.16K","0.05%"
"03/26/2019","469.25","470.00","478.00","467.00","83.74K","-0.05%"
"03/25/2019","469.50","466.50","471.75","463.00","59.71K","0.75%"
"03/22/2019","466.00","465.50","473.75","463.75","73.01K","-0.11%"
"03/21/2019","466.50","464.50","467.50","458.00","62.81K","0.38%"
"03/20/2019","464.75","456.75","465.00","454.75","53.59K","1.81%"
"03/19/2019","456.50","458.50","462.50","453.75","53.50K","-0.05%"
"03/18/2019","456.75","463.25","464.00","454.50","58.39K","-1.19%"
"03/15/2019","462.25","452.50","463.00","448.50","67.72K","2.21%"
"03/14/2019","452.25","447.88","460.62","446.88","","2.73%"
"03/13/2019","440.25","439.75","441.50","438.50","0.01K","-1.34%"
"03/12/2019","446.25","424.00","443.00","424.00","0.02K","5.68%"
"03/11/2019","422.25","430.25","430.25","427.75","0.03K","-2.43%"
"03/08/2019","432.75","435.50","437.00","435.50","0.03K","0.29%"
"03/07/2019","431.50","435.25","437.25","435.25","0.07K","-2.04%"
"03/06/2019","440.50","449.25","450.50","443.50","0.15K","-3.03%"
"03/05/2019","454.25","446.00","454.25","445.75","0.33K","1.68%"
"03/04/2019","446.75","454.75","454.75","446.00","0.88K","-1.60%"
"03/01/2019","454.00","452.50","457.75","440.50","2.21K","0.33%"
"02/28/2019","452.50","460.25","461.00","452.25","4.22K","-1.84%"
"02/27/2019","461.00","460.25","467.75","458.25","15.76K","0.16%"
"02/26/2019","460.25","467.00","468.00","456.25","35.05K","-1.39%"
"02/25/2019","466.75","489.75","490.00","466.25","45.91K","-4.11%"
"02/22/2019","486.75","488.50","493.00","484.50","50.63K","0.05%"
"02/21/2019","486.50","480.50","491.50","480.25","49.59K","1.20%"
"02/20/2019","480.75","490.00","493.50","475.75","78.09K","-1.84%"
"02/19/2019","489.75","502.50","505.25","488.50","74.21K","-2.78%"
"02/18/2019","503.75","503.25","503.75","503.00","","0.10%"
"02/17/2019","503.25","503.50","503.50","502.88","","-0.20%"
"02/15/2019","504.25","507.75","508.75","499.25","79.76K","-0.54%"
"02/14/2019","507.00","521.50","522.50","506.00","103.16K","-2.92%"
"02/13/2019","522.25","519.75","524.00","518.75","74.96K","0.43%"
"02/12/2019","520.00","518.50","520.75","514.50","82.84K","0.34%"
"02/11/2019","518.25","517.25","519.00","512.00","85.56K","0.19%"
"02/08/2019","517.25","514.75","522.25","513.50","112.34K","0.78%"
"02/07/2019","513.25","525.25","525.25","512.50","112.35K","-2.42%"
"02/06/2019","526.00","527.00","531.25","524.25","73.14K","-0.24%"
"02/05/2019","527.25","525.25","528.25","520.50","73.34K","0.29%"
"02/04/2019","525.75","524.75","529.00","521.25","74.71K","0.29%"
"02/01/2019","524.25","515.75","526.50","515.25","83.42K","1.50%"
"01/31/2019","516.50","517.75","520.00","513.50","56.31K","-0.05%"
"01/30/2019","516.75","513.25","518.00","511.75","46.57K","0.68%"
"01/29/2019","513.25","517.75","522.00","510.75","77.73K","-1.06%"
"01/28/2019","518.75","520.75","523.50","516.00","44.01K","-0.24%"
"01/25/2019","520.00","520.50","523.00","516.75","51.10K","-0.29%"
"01/24/2019","521.50","527.00","529.00","521.00","50.94K","-0.86%"
"01/23/2019","526.00","522.50","527.00","521.75","45.10K","0.91%"
"01/22/2019","521.25","518.00","526.00","514.25","75.78K","0.82%"
"01/21/2019","517.00","517.50","520.50","515.25","","0.00%"
"01/20/2019","517.00","517.50","517.50","517.00","","-0.14%"
"01/18/2019","517.75","519.75","522.75","515.25","50.53K","0.00%"
"01/17/2019","517.75","511.50","522.50","509.00","65.57K","1.02%"
"01/16/2019","512.50","511.00","516.75","511.00","43.24K","0.29%"
"01/15/2019","511.00","514.75","518.25","508.00","55.27K","-0.63%"
"01/14/2019","514.25","520.00","523.50","513.25","49.12K","-1.01%"
"01/11/2019","519.50","513.75","523.75","512.75","73.29K","1.12%"
"01/10/2019","513.75","519.50","520.25","512.00","59.32K","-1.20%"
"01/09/2019","520.00","519.75","523.75","518.25","57.34K","0.43%"
"01/08/2019","517.75","516.50","524.50","513.75","71.73K","0.19%"
"01/07/2019","516.75","518.00","518.50","513.50","41.55K","-0.05%"
"01/04/2019","517.00","513.75","518.75","513.00","44.05K","0.63%"
"01/03/2019","513.75","506.75","516.00","506.00","48.80K","1.38%"
"01/02/2019","506.75","502.50","510.75","501.25","46.44K","0.70%"
"12/31/2018","503.25","512.75","513.50","503.00","41.28K","-1.61%"
"12/28/2018","511.50","511.75","514.00","509.50","25.16K","0.20%"
"12/27/2018","510.50","511.50","513.00","507.25","32.66K","0.10%"
"12/26/2018","510.00","516.00","520.75","509.00","32.52K","-1.26%"
"12/24/2018","516.50","512.00","518.00","511.00","22.53K","0.49%"
"12/21/2018","514.00","522.00","524.00","512.25","62.69K","-1.81%"
"12/20/2018","523.50","524.00","527.75","521.25","45.09K","0.19%"
"12/19/2018","522.50","532.75","533.00","521.50","49.71K","-1.92%"
"12/18/2018","532.75","534.00","536.00","530.00","40.25K","-0.47%"
"12/17/2018","535.25","531.00","537.50","530.00","37.08K","1.42%"
"12/14/2018","527.75","536.38","537.62","527.75","0.02K","0.00%"
"12/13/2018","527.75","526.25","526.25","526.25","0.04K","2.43%"
"12/12/2018","515.25","520.75","520.75","517.75","0.01K","1.08%"
"12/11/2018","509.75","511.00","511.00","511.00","0.01K","-0.97%"
"12/10/2018","514.75","522.75","522.75","521.50","0.01K","-0.91%"
"12/07/2018","519.50","505.25","519.00","505.25","0.06K","2.82%"
"12/06/2018","505.25","510.00","510.00","499.50","0.52K","-1.80%"
"12/05/2018","514.50","515.00","515.50","513.25","0.05K","-0.91%"
"12/04/2018","519.25","514.75","520.75","514.75","0.33K","0.68%"
"12/03/2018","515.75","524.25","525.25","514.00","2.39K","0.00%"
"11/30/2018","515.75","497.25","517.75","497.25","2.39K","3.88%"
"11/29/2018","496.50","497.75","501.50","492.00","16.13K","-0.20%"
"11/28/2018","497.50","497.25","501.00","494.75","20.28K","-0.10%"
"11/27/2018","498.00","506.75","510.00","497.50","27.09K","-1.87%"
"11/26/2018","507.50","503.00","508.00","501.75","39.28K","1.55%"
"11/23/2018","499.75","500.75","507.50","499.00","49.83K","0.35%"
"11/22/2018","498.00","498.00","498.00","498.00","","-0.15%"
"11/21/2018","498.75","500.50","504.25","497.75","30.01K","-0.40%"
"11/20/2018","500.75","497.50","502.50","495.50","39.18K","0.45%"
"11/19/2018","498.50","506.50","507.25","496.00","51.16K","-1.63%"
"11/16/2018","506.75","505.25","508.75","502.75","41.46K","0.25%"
"11/15/2018","505.50","503.00","509.00","503.00","71.99K","0.50%"
"11/14/2018","503.00","507.75","511.00","501.00","80.90K","-0.94%"
"11/13/2018","507.75","518.25","520.75","506.00","104.44K","-2.31%"
"11/12/2018","519.75","502.50","520.75","501.25","115.47K","3.54%"
"11/09/2018","502.00","507.50","508.00","500.75","92.76K","-1.13%"
"11/08/2018","507.75","509.50","517.00","503.25","110.06K","-0.49%"
"11/07/2018","510.25","512.50","514.25","507.25","70.29K","-0.34%"
"11/06/2018","512.00","507.25","514.00","505.50","51.33K","0.94%"
"11/05/2018","507.25","511.25","512.25","503.75","54.25K","-0.29%"
"11/02/2018","508.75","507.00","509.75","502.75","56.56K","0.15%"
"11/01/2018","508.00","500.50","510.00","500.50","85.22K","1.50%"
"10/31/2018","500.50","499.75","501.75","490.00","82.42K","0.15%"
"10/30/2018","499.75","505.50","507.50","497.00","69.05K","-1.48%"
"10/29/2018","507.25","510.25","515.00","502.75","66.04K","0.40%"
"10/26/2018","505.25","487.25","506.75","486.75","143.20K","3.69%"
"10/25/2018","487.25","499.75","499.75","485.50","84.39K","-2.45%"
